date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:48	77743/77743	---M--	200	added ('OK')	image/jpeg	etag:1c7a9d9a127a00b70bab650dc1de0248	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0team.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0team.jpg	(from https://system76.com/)
22:21:49	19275/19275	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:14%20GMT	https://system76.com/shipping	E:/websites/ecom/system76.com/shipping.html	(from https://system76.com/)
22:21:49	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:15%20GMT	https://system76.com/images/home/badges/shipping.jpg	E:/websites/ecom/system76.com/images/home/badges/shipping.jpg	(from https://system76.com/)
22:21:49	95975/95975	---M--	200	added ('OK')	image/jpeg	etag:a37091510dc52980fc4d6dea5156699d	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0shipping.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0shipping.jpg	(from https://system76.com/)
22:21:49	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:15%20GMT	https://system76.com/images/home/badges/meerkat.jpg	E:/websites/ecom/system76.com/images/home/badges/meerkat.jpg	(from https://system76.com/)
22:21:49	60493/60493	---M--	200	added ('OK')	image/jpeg	etag:edeba20cd735d00999444a864f46e5a7	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0meerkat.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0meerkat.jpg	(from https://system76.com/)
22:21:50	17855/17855	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:15%20GMT	https://system76.com/careers	E:/websites/ecom/system76.com/careers.html	(from https://system76.com/)
22:21:50	27950/27950	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:16%20GMT	https://system76.com/warranty	E:/websites/ecom/system76.com/warranty.html	(from https://system76.com/)
22:21:50	17565/17565	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:16%20GMT	https://system76.com/privacy	E:/websites/ecom/system76.com/privacy.html	(from https://system76.com/)
22:21:50	19361/19361	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:16%20GMT	https://system76.com/disclaimer	E:/websites/ecom/system76.com/disclaimer.html	(from https://system76.com/)
